Con_tir,Con_mordad,Con_shahrivar,Target
0.0,0.019594594594065012,0.0,High
0.40140845075,0.47027027025756024,0.6060846560519081,Moderate
0.6125,0.5874071872994394,0.6037240536352196,High
0.49528301875,0.5175930646256506,0.34419191924392767,Moderate
0.534090909,0.4033507190972067,0.4430555555596579,Moderate
0.34883720925000006,0.2559293987705605,0.2563131313032992,Moderate
0.139534883725,0.09797297297032505,0.0847953216424518,High
0.296511628,0.24493243242581264,0.23318713449660355,High
0.8457446807500001,0.9200940069120696,0.0,Low
0.33139534875000004,0.3755630630529127,0.2196969697038861,High
0.063829787225,0.0681551116269868,0.0671296296302512,Moderate
0.5058139535,0.0,0.4603174602450029,Moderate
0.16463414635,0.0447876447789697,0.0,High
0.261627907,0.20794263649618172,0.10885885885841536,High
0.2790697675,0.3678985106657325,0.1790123456896205,Moderate
0.5051020407500001,0.45285285275352644,0.3790849673553619,Moderate
0.5859375,0.11526232114463254,0.15491452990976773,Moderate
0.09375,0.09220985692093125,0.1006944444453768,High
0.35714285725,0.3359073359729034,0.503472222226884,High
1.0,0.9797297297032506,1.0,High
0.49875,0.5486486486338203,0.56388888889411,Low
0.49342105275000003,0.6608373079551125,0.7435897435346629,High
0.558139535,0.43891891890705625,0.4531250000041956,Moderate
0.5663265305,0.46653796660000346,0.6247165532280067,High
0.25,0.5038610039593552,0.1510416666680652,High
0.6937500000000001,0.5094594594456903,0.671296296302512,Moderate
0.45918367350000006,0.3918918918813002,0.3901909722258351,Moderate
0.25,0.12375533427143004,0.48333333333780865,Moderate
0.5437500000000001,0.49877149873426746,0.08333333333780864,High
0.1125,0.13063063062710006,0.21481481481680384,High
0.25,0.1328940326333452,0.1874035493934019,High
0.3620689655,0.21771771770312476,0.0,Moderate
0.6964285715,0.3918918918813002,0.2301587301493533,High
0.52777777775,0.0,0.5253623188104201,Moderate
0.021739130425000003,0.0,0.2013888888907536,High
0.24107142857500002,0.3300142248109005,0.33272946866048825,High
0.75,0.5056669572746216,0.0,High
0.25,0.08831366577238792,0.17512077293680667,High
0.50625,0.5878378378219503,0.3804012346609296,Moderate
0.30978260875,0.38184338195364387,0.0,High
0.127118644075,0.26126126125420013,0.48333333333780865,High
0.25,0.3366250864954065,0.3020833333361304,High
0.25,0.42907871362804295,0.11846405229183762,High
0.44642857150000004,0.3135135135050402,0.8861111111193158,High
0.25,0.3295454544415438,0.2685185185210048,Moderate
0.25,0.0,0.0,Moderate
0.2673444975,0.5246294681299649,0.5392025089309185,High
0.7258064515,1.0,0.6521164022375197,High
0.0731707317,0.26126126125420013,0.5205128203937084,High
0.136363636375,0.048986486485162524,0.251736111113442,Moderate
0.25,0.013513513505040176,0.14009661834944534,High
0.11363636362500001,0.13063063062710006,0.1450000000013426,Moderate
0.3035714285,0.2887624466768803,0.05370370370420096,High
0.40714285725000005,0.16795366796032557,0.48333333333780865,Moderate
0.25,0.2734577329926092,0.48333333333780865,High
0.375,0.08708708707602468,0.46474358980985875,High
0.49500000000000005,0.44787644778969704,0.21481481481680384,Moderate
0.49500000000000005,0.4618725868974269,0.49369047631012675,Moderate
0.25,0.1802702702653981,0.48333333333780865,Moderate
0.336734694,0.26126126125420013,0.5108401083010262,High
0.4453125,0.5243262885443876,0.4986772486435062,Moderate
0.75,0.5971685972271036,0.5178571429770172,Moderate
0.45652173925000006,0.12018018017693205,0.0,Moderate
0.25,0.1959459459406501,0.19263285023048735,High
0.25,0.14695945945548758,0.017512077293680667,High
0.42000000000000004,0.7117117116834673,0.2685185185210048,High
0.45,0.29391891891097516,0.20884773663341524,High
0.5,0.5507669831562856,0.0,High
0.28125,0.0,0.01643990929830037,High
0.20270270270000001,0.0,0.049319727894901105,Moderate
0.530487805,0.3918918918813002,0.4475308642911809,Moderate
0.5795454545000001,0.47027027025756024,0.0,High
0.304054054,0.08708708707602468,0.2181712962983164,High
