Target,MainCost,Debt,AverageConsume
High,0.30995920462681226,0.02819090485844429,0.6278981139620973
Low,0.04722924292623088,0.04489539232072363,0.24124412183126928
Moderate,0.10690307235705482,0.3941581988177473,0.40614285520446414
