Target,MainCost,Debt,AverageConsume
High,0.3511795589791125,0.023673562640967753,0.6664919749150969
Low,0.05582424325098106,0.0384188961068038,0.26452540841731603
Moderate,0.09160997329078024,0.37941315797725716,0.3654938807906397
