debt_tir,debt_mordad,debt_shahrivar,Target
0.0894238765128166,0.06775594760419089,0.15139307030163987,High
0.0,0.07482320409094817,0.0,Moderate
1.0,0.0,0.0,High
0.0,0.23381281235385742,0.0,Moderate
0.14588475200686227,0.28754619949224447,0.5598302558228587,Moderate
0.0,0.0,0.0,Moderate
0.0,0.04223993559677556,0.0,High
0.0,0.0,0.0,High
0.0,0.0,0.0,Low
0.28661075421080195,0.2754008790307355,0.6901754000819478,High
0.27965241150025566,0.20113743747834098,0.3804056833883143,Moderate
0.0,0.0,0.0,Moderate
0.07989676676468888,0.08414096042020865,0.0,High
0.31860115970991865,0.0,0.0,High
0.0,0.057828558982941994,0.2597442860697997,Moderate
0.0,0.0,0.0,Moderate
0.0,0.0,0.0,Moderate
0.0,0.03286213201337934,0.0,High
0.0,0.0,0.0,High
0.0,0.0,0.0,High
0.0,0.0,0.0,Low
0.679758157343325,0.0,0.5298439054064584,High
0.0,0.0,0.0,Moderate
0.0,0.28434664770937534,0.25323203537998884,High
0.1396198723977974,0.1454751595196016,0.0,High
0.6043695247302587,0.9999999999999999,0.0,Moderate
0.2084819647594282,0.2797850918951982,0.4026522422939344,Moderate
0.10928179769597197,0.0,0.0,Moderate
0.1688613851707055,0.28857056493779765,0.0,High
0.07139341987963611,0.07895018062519368,0.0,High
0.09392951469646742,0.4601644989438298,1.0,High
0.36926930953622006,0.0,0.03011203718987836,Moderate
0.0,0.0,0.0,High
0.0,0.0,0.0,Moderate
0.0,0.0,0.026050259626978413,High
0.4869013680816448,0.3414447165795048,0.0,High
0.0,0.5097581876720951,0.20582088964449916,High
0.24300328178188818,0.19777021137142328,0.3239228852990884,High
0.3253065776659954,0.35057495245834985,0.7112400843609623,Moderate
0.10157757655653764,0.0,0.0,High
0.0,0.0,0.0,High
0.068774317487958,0.0,0.0,High
0.0,0.0,0.0,High
0.0,0.10522136318462139,0.0,High
0.0,0.0,0.0,Moderate
0.10564018042520479,0.0989848451925812,0.15136039174053556,Moderate
0.0,0.32353485972096346,0.0,High
0.31199890843000705,0.0,0.0,High
0.5689721229497183,0.0,0.07843902054811164,High
0.0,0.04281852651162601,0.0,Moderate
0.34548731070682903,0.0,0.0,High
0.23966450862502534,0.0,0.014881313979804649,Moderate
0.10761449109085033,0.12806221913278534,0.0,High
0.17747289066786695,0.0,0.01964903225373981,Moderate
0.17033151030605975,0.15452015883007592,0.31516335509948945,High
0.5983018265909612,0.0,0.012005600602626183,High
0.3097633531166528,0.34585437319571993,0.0,Moderate
0.0,0.1563968899593358,0.0,Moderate
0.0,0.027465257829169632,0.013439686688011073,Moderate
0.0,0.07758308784353517,0.0,High
0.0,0.0,0.2512641994632337,Moderate
0.0,0.0,0.0,Moderate
0.0,0.0,0.0,Moderate
0.0,0.07139338635471948,0.09609340370675432,High
0.1506503868542359,0.16358780307960993,0.2298123999219066,High
0.0,0.0,0.0,High
0.22216860513245895,0.30269642703571636,0.0,High
0.0,0.0,0.0,High
0.0,0.0,0.006999915370905858,High
0.07118251058602416,0.0,0.01012909707459845,Moderate
0.575420872199368,0.529254462452401,0.0,Moderate
0.28368090380664235,0.0,0.0,High
0.0,0.0,0.0,High
