Target,MainCost,Debt,AverageConsume
High,0.32551204265203554,0.03074969989007258,0.6369719900327407
Low,0.04985307762184302,0.04006762100207322,0.24421071914238845
Moderate,0.08054034046592085,0.38037153338862423,0.33885602001106174
