Code,MainCost,Debt,AverageConsume,Target
1191791,160417,0,6.0,Low
11135425,578330,1808556,5.086633663,Moderate
1139308,92932,0,0.346534653,Low
11149074,2040056,0,1.439393939,Low
1187689,603857,0,20.0,Low
1163774,1665528,0,25.0,High
1187423,1665528,1772204,25.0,Moderate
1190186,365108,0,12.55813953,Low
1163385,1608602,0,26.66666667,High
1174658,1114740,0,25.0,High
1171568,3895201,0,37.33333333,High
1159632,122144,0,5.12195122,Low
1160415,159242,373896,8.048780488,Low
1157076,742000,0,16.20689655,Low
1164777,98958,154956,1.463414634,Low
1157939,98000,106690,0.0,Low
1167688,517165,0,18.91304348,Low
1174819,113260,269999,0.0,Low
1167362,4587547,0,40.97560976,High
1160835,340870,0,12.14285714,Low
1161105,0,284851,0.0,Low
11123889,1229680,98186,0.0,Low
1180803,2528089,0,27.20930233,High
1179574,3703533,0,37.14285714,High
1157431,197916,0,9.76744186,Low
1159560,6445784,0,39.06976744,High
1157803,1034208,0,20.93023256,High
1159702,338333,0,11.86046512,Low
1174820,268031,423278,10.0,Low
1169181,3834679,0,38.04878049,High
1186548,1657079,211620,23.10344828,High
1157175,129487,0,2.790697674,Low
1183439,510206,0,19.02439024,Low
1157569,812661,0,17.24137931,Low
1174657,2787583,0,33.57142857,High
1192695,384140,0,16.66666667,Low
1163775,226520,0,0.0,Low
1159411,765697,0,21.95121951,High
1159708,212163,0,10.46511628,Low
1186547,1114740,0,25.0,High
1187422,1065183,157581,0.0,Low
1147366,190830,0,0.0,Low
1157111,173553,0,10.0,Low
1162761,308496,0,10.43478261,Low
1158072,997205,0,32.66666667,High
11145245,226898,151046,10.90909091,Low
1163341,739674,0,21.13636364,Low
11132254,1152590,664497,24.66666667,High
1157694,3280235,0,34.56521739,High
111593,118086,0,3.333333333,Low
11149098,1303278,0,22.5,High
11145494,246321,0,8.863636364,Low
1161704,456806,0,7.826086957,Low
11101029,333565,411811,14.66666667,Low
1139748,1554903,0,26.0,High
11145311,361515,0,16.04651163,Low
1171786,2255879,0,25.43478261,High
11145611,151517,278402,11.0,Low
1158856,163154,0,7.333333333,Low
113469,3174620,0,23.69565217,High
11132284,108228,617177,1.333333333,Low
11132334,3543810,0,36.0,High
11107214,105000,117608,0.0,Low
1166427,332095,0,11.08695652,Low
11132148,655603,432714,18.0,Low
114462,1152590,0,24.66666667,High
1188805,1781390,0,24.7826087,High
11132314,2515363,2048311,31.33333333,High
1155897,241436,0,11.08695652,Low
11132247,586835,364516,19.33333333,Low
1153279,138158,143719,10.0,Low
11132279,1071306,2231823,24.0,Moderate
11145176,267188,0,9.76744186,Low
1140082,2507372,0,26.66666667,High
11132301,226530,679168,10.66666667,Low
11145359,1193800,0,21.81818182,High
1169033,296036,0,13.63636364,Low
11132300,294131,0,13.33333333,Low
11132139,211152,229847,7.333333333,Low
1139757,1019904,230993,19.46808511,Low
11145169,553138,0,19.09090909,Low
1139892,444915,0,12.45283019,Low
1157816,274502,1394587,12.39130435,Moderate
11132281,242022,484978,11.33333333,Low
11132267,710163,0,20.66666667,Low
1198803,1720554,2394298,24.66666667,Moderate
1155700,354691,690862,15.33333333,Low
1137369,148681,0,11.08695652,Low
11132306,710163,783902,20.66666667,Moderate
11132138,543759,0,16.0,Low
1138230,2056406,1111529,28.69565217,High
11132282,710163,388730,20.66666667,Low
1118407,130241,0,8.666666667,Low
11145227,2078284,811061,29.31818182,High
1160776,257509,516348,11.73913043,Low
1177254,105907,598789,1.363636364,Low
1179160,164032,0,13.04347826,Low
113561,431137,270058,14.04255319,Low
1116237,1210596,0,26.08695652,High
1183314,198726,0,9.130434783,Low
11132245,710163,0,20.66666667,Low
117658,73945,0,0.967741935,Low
113562,109958,998867,1.956521739,Low
1151187,335411,0,21.33333333,Low
11132162,616859,229090,17.33333333,Low
112167,1195202,416231,35.33333333,High
1162867,308496,0,10.43478261,Low
11145356,915104,0,23.02325581,High
1193025,333641,832347,1.52173913,Low
11132442,169484,1749600,5.333333333,Moderate
1172472,336366,0,15.0,Low
11132283,185688,347866,8.666666667,Low
11150555,4088213,0,32.79069767,High
1175748,879466,0,22.5,High
11132158,616859,857522,17.33333333,Moderate
11145572,119310,0,4.186046512,Low
11156476,107333,564006,0.0,Low
1165165,1402874,0,25.22727273,High
11131885,313511,636873,20.66666667,Low
11132322,105000,1073646,0.0,Low
11132308,845565,1493055,22.0,Moderate
11132144,1360997,828151,22.66666667,High
113553,1032238,0,23.47826087,High
1140457,406874,231319,13.72340426,Low
1161282,3190283,0,23.80434783,High
11132272,153295,347253,6.666666667,Low
11116355,151999,676192,6.818181818,Low
11145246,377750,0,0.09771987,Low
11132330,105000,970701,0.0,Low
11132312,294131,134558,13.33333333,Low
11132326,242022,0,11.33333333,Low
11132242,448581,0,18.0,Low
1194593,682086,1001324,20.2173913,Moderate
1160392,4588944,0,30.95744681,High
1176994,364408,0,13.08510638,Low
1141845,359546,1665306,12.0,Moderate
11156479,174845,703854,7.826086957,Low
11145562,636335,0,17.92682927,Low
11146177,227393,0,11.1627907,Low
1140919,275822,0,12.66666667,Low
11132292,275822,256190,12.66666667,Low
11132147,445073,246802,14.0,Low
11141193,739674,789628,21.13636364,Moderate
11132295,1773527,987878,27.33333333,High
11108403,861512,974218,30.66666667,High
1162750,3626541,0,36.13636364,High
11132261,129353,115774,4.666666667,Low
11132266,333565,363779,14.66666667,Low
11145168,519849,0,18.8372093,Low
11145500,289373,638624,10.46511628,Low
11132274,110575,2214172,2.0,Moderate
11150556,129487,0,2.790697674,Low
1156989,181134,0,15.33333333,Low
11132276,275822,114938,12.66666667,Low
11132249,258453,305896,12.0,Low
1111180,1152590,1333098,24.66666667,Moderate
11132327,226530,0,10.66666667,Low
11152846,118653,0,0.0,Low
1161653,1724095,0,27.27272727,High
114613,153521,0,11.73913043,Low
11136615,1514459,138297,30.66666667,High
114385,144376,177921,6.0,Low
113136,2432814,1589129,30.65217391,High
1173075,2433054,0,26.59090909,High
11132157,1360997,2157287,22.66666667,Moderate
11135974,145912,129090,5.869565217,Low
11132291,217000,532299,0.0,Low
11132270,313379,0,14.0,Low
11145695,507429,501618,18.26086957,Low
11132328,399758,0,16.66666667,Low
1139684,173951,0,8.0,Low
1151988,153295,0,6.666666667,Low
11132260,294131,0,13.33333333,Low
11143639,136395,168158,5.333333333,Low
11132313,242022,188132,11.33333333,Low
1159362,483070,0,15.0,Low
11132311,258453,129396,12.0,Low
11132269,258453,226541,12.0,Low
11142847,357971,840670,15.68181818,Moderate
1115295,443505,434356,17.60869565,Low
1140295,4554393,312807,26.4893617,High
11132290,211977,1498304,10.0,Moderate
11132443,655603,593980,18.0,Low
11100260,292660,0,20.0,Low
1135572,272433,0,14.59459459,Low
115487,135819,0,9.130434783,Low
11148671,107333,0,0.0,Low
11145122,115957,0,0.0,Low
11100258,147206,726197,11.33333333,Low
1184959,904752,0,19.56521739,Low
1180067,904752,1833774,19.56521739,Moderate
11132303,313379,644448,14.0,Low
11132240,845565,1389002,22.0,Moderate
1162493,1096984,0,20.86956522,High
1171190,2741864,825694,32.72727273,High
1175496,4519358,0,39.54545455,High
11132302,399758,346350,16.66666667,Low
11145355,361515,0,16.04651163,Low
1172245,151999,0,6.818181818,Low
11120259,1773527,0,27.33333333,High
1187722,160467,216703,4.565217391,Low
11132155,158519,382989,4.666666667,Low
1196357,620915,289190,19.56521739,Low
11132511,1705235,217807,39.33333333,High
1166426,815369,0,18.91304348,Low
1139446,760500,1078160,31.62162162,High
1150834,107333,0,0.0,Low
11145310,577828,0,19.53488372,Low
1149101,818720,385067,30.0,High
1183644,407412,0,23.33333333,High
1170289,122543,0,6.52173913,Low
11132317,258453,255993,12.0,Low
11132323,776355,0,21.33333333,High
1167229,404063,434616,17.04545455,Low
1168610,471542,0,14.34782609,Low
11132275,105000,113105,0.0,Low
11132257,917794,939738,22.66666667,Moderate
1140284,372290,313192,11.17021277,Low
11149215,167821,0,5.454545455,Low
11132299,333565,968818,14.66666667,Moderate
11132310,448581,0,18.0,Low
11132329,423700,366481,17.33333333,Low
11146176,227393,0,11.1627907,Low
1159541,160467,685028,4.565217391,Low
11137562,219333,469039,0.0,Low
1139701,579578,2667347,16.66666667,Moderate
1162913,395743,672651,16.30434783,Low
11132243,646990,478063,20.0,Low
11145499,1034208,519538,20.93023256,High
11132165,28195,0,3.333333333,Low
11132309,2128327,1049066,29.33333333,High
1197443,195801,397152,6.666666667,Low
1162313,125246,711585,3.913043478,Low
11132248,1662424,1721785,26.66666667,Moderate
1161870,136868,0,2.608695652,Low
11145563,844392,0,19.02439024,Low
112761,164282,0,7.173913043,Low
1110361,389249,1048099,8.043478261,Moderate
1192549,162081,0,7.5,Low
115544,188372,0,15.65217391,Low
113178,139830,0,9.782608696,Low
1161275,953993,0,23.18181818,High
11132298,993041,0,23.33333333,High
1165885,1613358,425775,26.59090909,High
1139888,993041,0,23.33333333,High
11132255,529699,0,18.66666667,Low
113217,209531,611857,17.60869565,Low
11132141,524092,430178,0.0,Low
11145177,246533,0,9.069767442,Low
11145696,1192969,0,24.7826087,High
11132150,195801,265413,6.666666667,Low
11132246,1450963,0,25.33333333,High
1160792,572373,0,16.30434783,Low
1172847,411472,0,13.04347826,Low
1196358,212044,0,9.782608696,Low
1164220,311241,0,13.69565217,Low
1150776,795329,0,29.34782609,High
1166498,411472,0,13.04347826,Low
11132280,529699,0,18.66666667,Low
1140468,3106045,0,26.80851064,High
11132154,1250320,954321,22.0,Moderate
11139265,201916,699394,17.33333333,Low
11146080,1659318,0,20.68181818,High
11132288,646990,0,20.0,Low
1171433,143305,117572,3.260869565,Low
1175565,730473,644931,18.26086957,Low
11156478,107333,564006,0.0,Low
1163713,497133,0,18.40909091,Low
11132444,415102,0,13.33333333,Low
112433,340698,2110122,23.51351351,Moderate
11132159,1042730,744117,20.66666667,Moderate
11132289,242022,2349055,11.33333333,Moderate
11132271,242022,0,11.33333333,Low
1139687,2853683,0,28.0,High
1157693,419164,0,16.95652174,Low
1194986,127513,269805,4.772727273,Low
11132264,294131,0,13.33333333,Low
11145361,752749,0,18.8372093,Low
11145357,1564340,0,26.51162791,High
1171608,612229,0,19.77272727,Low
11132716,110550,168066,1.304347826,Low
116071,1670845,0,38.29787234,High
1178001,1502988,0,7.173913043,Low
11138515,265589,0,9.130434783,Low
1193432,133101,0,4.468085106,Low
1114556,1547396,391620,25.53191489,High
1115623,319441,0,20.42553191,Low
11137867,160865,1496770,11.36842105,Moderate
1138581,463466,0,17.87234043,Low
11155329,154638,288463,6.52173913,Low
11139314,1111481,894455,33.91304348,High
11105528,730473,1286370,18.26086957,Moderate
1117324,257509,0,11.73913043,Low
11136432,1111481,964245,33.91304348,High
1146101,189040,0,15.31914894,Low
11141528,292412,321106,13.04347826,Low
1196743,601285,3786484,16.59574468,Moderate
11132714,5379833,0,41.73913043,High
1166334,471542,0,14.34782609,Low
116273,883319,0,22.17391304,High
1138691,715737,369136,28.04347826,High
1166294,124047,409843,0.0,Low
11101061,228939,0,7.659574468,Low
11148616,147003,1071382,10.42105263,Moderate
11135726,319441,1895251,20.42553191,Moderate
1138330,119915,0,5.869565217,Low
1133963,198726,0,9.130434783,Low
1110829,682086,0,20.2173913,Low
11136444,879692,741322,30.65217391,High
11137872,117564,553727,5.217391304,Low
11152814,109909,287954,8.608695652,Low
1191840,746211,1786061,20.86956522,Moderate
11100250,391999,0,15.95744681,Low
11114948,330424,0,10.85106383,Low
1148153,611992,625732,20.2173913,Low
11137738,144117,713709,10.43478261,Low
11104098,1872475,0,27.44680851,High
11139509,968829,0,31.95652174,High
11135883,95775,1296399,5.684210526,Moderate
1140510,273338,0,12.12765957,Low
11106772,246436,793188,8.29787234,Low
11157628,463466,1057979,17.87234043,Moderate
1117184,1603585,0,26.08695652,High
1136874,605298,0,26.08695652,High
115715,4793545,0,39.7826087,High
11135695,897874,0,30.63829787,High
11156053,175649,0,14.34782609,Low
11150066,463466,725364,17.87234043,Moderate
11136091,124612,252101,6.382978723,Low
1166283,228403,0,7.826086957,Low
11139640,164032,1312044,13.04347826,Moderate
11129145,109667,1237596,0.0,Moderate
11104383,217194,0,17.87234043,Low
11123550,126743,1292494,0.0,Moderate
